bairro,desc,tipo,imagem,area total,area util,valor
Bom Retiro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1053701930/26302301930.jpg,"87,47 M² TOTAL","40,11 M² ÚTIL",2300.0
Anita Garibaldi,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1102701930/26364401930.jpg,"248,65 M² TOTAL","178,59 M² ÚTIL",2300.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1483001930/26684401930.jpg,"96,33 M² TOTAL","59,12 M² ÚTIL",2300.0
Bom Retiro,Casa comercial,Casa comercial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1490401930/26737301930.jpg,"113,44 M² TOTAL","113,44 M² ÚTIL",2300.0
America,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/825101930/23506301930.jpg,"154,55 M² TOTAL",123 M² ÚTIL,2300.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1357301930/21962901930.jpg,"92,13 M² TOTAL","63,24 M² ÚTIL",2300.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/459601930/22413501930.jpg,"109,34 M² TOTAL","109,34 M² ÚTIL",2300.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/479501930/23555201930.jpg,"101,64 M² TOTAL","101,64 M² ÚTIL",2300.0
Anita Garibaldi,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1470201930/26048401930.jpg,"85,85 M² TOTAL","82,05 M² ÚTIL",2300.0
Itinga,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1478601930/26325201930.jpg,75 M² TOTAL,75 M² ÚTIL,2250.0
Atiradores,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1103801930/25977301930.jpg,"97,64 M² TOTAL","73,94 M² ÚTIL",2200.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/837101930/26302601930.jpg,"96,33 M² TOTAL","59,12 M² ÚTIL",2200.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/837201930/26302801930.jpg,"96,45 M² TOTAL","59,17 M² ÚTIL",2200.0
Santo Antonio,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/221801930/24879801930.jpg,90 M² TOTAL,"80,53 M² ÚTIL",2200.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/837101930/26302601930.jpg,"96,33 M² TOTAL","59,12 M² ÚTIL",2200.0
