bairro,desc,tipo,imagem,area total,area util,valor
America,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1439001930/24910001930.jpg,"77,3 M² TOTAL","58,14 M² ÚTIL",1800.0
Anita Garibaldi,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/148301930/24899901930.jpg,"102,89 M² TOTAL","88,11 M² ÚTIL",1800.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/193401930/26195101930.jpg,"118,71 M² TOTAL","87,03 M² ÚTIL",1790.0
America,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/487501930/25513501930.jpg,"109,53 M² TOTAL","93,25 M² ÚTIL",1790.0
Costa e Silva,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/776801930/26742701930.jpg,"120,3 M² TOTAL","89,49 M² ÚTIL",1750.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1273501930/25490701930.jpg,"74,81 M² TOTAL","38,44 M² ÚTIL",1750.0
Atiradores,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1119301930/15126201930.jpg,"69,35 M² TOTAL","37,82 M² ÚTIL",1750.0
Anita Garibaldi,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/496101930/26978201930.jpg,"101,87 M² TOTAL","89,44 M² ÚTIL",1750.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1396601930/26160601930.jpg,"148,29 M² TOTAL","95,43 M² ÚTIL",1700.0
Atiradores,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1492901930/26878601930.jpg,49 M² TOTAL,"48,19 M² ÚTIL",1700.0
Boa Vista,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1487301930/26607401930.jpg,100 M² TOTAL,100 M² ÚTIL,1700.0
America,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1357201930/21965501930.jpg,"56,31 M² TOTAL","56,31 M² ÚTIL",1700.0
Iririu,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1436301930/27055301930.jpg,136 M² TOTAL,"108,49 M² ÚTIL",1700.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/761501930/8518901930.jpg,"144,12 M² TOTAL","96,59 M² ÚTIL",1700.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1465701930/25908801930.jpg,270 M² TOTAL,270 M² ÚTIL,1700.0
Bom Retiro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1299001930/26739601930.jpg,"96,18 M² TOTAL","66,88 M² ÚTIL",1690.0
Costa e Silva,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1149101930/26267201930.jpg,"81,94 M² TOTAL","67,75 M² ÚTIL",1690.0
Bom Retiro,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1359301930/25001601930.jpg,"114,18 M² TOTAL","114,18 M² ÚTIL",1650.0
Costa e Silva,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1376401930/25285501930.jpg,142 M² TOTAL,"110,94 M² ÚTIL",1650.0
Bom Retiro,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1357901930/25850201930.jpg,"97,8 M² TOTAL","97,8 M² ÚTIL",1650.0
Boa Vista,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1460101930/25689301930.jpg,146 M² TOTAL,146 M² ÚTIL,1650.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1231501930/26839501930.jpg,"61,53 M² TOTAL","44,53 M² ÚTIL",1600.0
Bom Retiro,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1495301930/26970701930.jpg,"84,81 M² TOTAL","84,81 M² ÚTIL",1600.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1333301930/21123301930.jpg,"73,51 M² TOTAL","49,17 M² ÚTIL",1600.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/914401930/25488901930.jpg,"74,81 M² TOTAL","38,44 M² ÚTIL",1600.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1231501930/26839501930.jpg,"61,53 M² TOTAL","44,53 M² ÚTIL",1600.0
Bom Retiro,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1495301930/26970701930.jpg,"84,81 M² TOTAL","84,81 M² ÚTIL",1600.0
America,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1103701930/14729301930.jpg,"104,36 M² TOTAL","81,95 M² ÚTIL",1600.0
Bom Retiro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1417001930/26304501930.jpg,"75,89 M² TOTAL","39,85 M² ÚTIL",1600.0
America,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/829901930/27028601930.jpg,"120,65 M² TOTAL","108,65 M² ÚTIL",1600.0
Vila Nova,Casa residencial,Casa residencial,http://www.casasoftnet.com.br/indicadordeimoveis/imobiliarias/naofoto.gif,"108,11 M² TOTAL","101,91 M² ÚTIL",1600.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/241601930/26347801930.jpg,103 M² TOTAL,100 M² ÚTIL,1550.0
America,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1444301930/25134301930.jpg,"62,99 M² TOTAL","33,96 M² ÚTIL",1550.0
Bom Retiro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/953801930/26304801930.jpg,"72,64 M² TOTAL",30 M² ÚTIL,1500.0
Costa e Silva,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1316701930/20507001930.jpg,79 M² TOTAL,"66,28 M² ÚTIL",1500.0
Zona Industrial Norte,Terreno,Terreno,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1129801930/15387601930.jpg,1330 M² TOTAL,1330 M² ÚTIL,1500.0
Zona Industrial Norte,Terreno,Terreno,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1129901930/15388201930.jpg,1300 M² TOTAL,1300 M² ÚTIL,1500.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1150801930/26305101930.jpg,"65,12 M² TOTAL","39,95 M² ÚTIL",1500.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1232201930/17871601930.jpg,"75,36 M² TOTAL","75,36 M² ÚTIL",1500.0
Costa e Silva,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1316701930/20507001930.jpg,79 M² TOTAL,"66,28 M² ÚTIL",1500.0
Zona Industrial Norte,Terreno,Terreno,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1129801930/15387601930.jpg,1330 M² TOTAL,1330 M² ÚTIL,1500.0
Zona Industrial Norte,Terreno,Terreno,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1129901930/15388201930.jpg,1300 M² TOTAL,1300 M² ÚTIL,1500.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1150801930/26305101930.jpg,"65,12 M² TOTAL","39,95 M² ÚTIL",1500.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1232201930/17871601930.jpg,"75,36 M² TOTAL","75,36 M² ÚTIL",1500.0
Saguacu,Terreno,Terreno,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1165401930/16235801930.jpg,"726,6 M² TOTAL","726,6 M² ÚTIL",1500.0
Guanabara,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1396401930/23487801930.jpg,"67,66 M² TOTAL","67,66 M² ÚTIL",1500.0
Sao Marcos,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/225201930/7270701930.jpg,250 M² TOTAL,"199,52 M² ÚTIL",1500.0
Jardim Iririu,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1444801930/26033401930.jpg,183 M² TOTAL,183 M² ÚTIL,1500.0
Atiradores,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1404801930/25354401930.jpg,"141,99 M² TOTAL","99,56 M² ÚTIL",1500.0
Costa e Silva,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1437301930/24842501930.jpg,"75,78 M² TOTAL","66,93 M² ÚTIL",1500.0
Pirabeiraba,Terreno,Terreno,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1432501930/24769101930.jpg,"724,48 M² TOTAL","724,48 M² ÚTIL",1500.0
Guanabara,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1465101930/25901901930.jpg,100 M² TOTAL,100 M² ÚTIL,1500.0
Costa e Silva,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/750701930/25747901930.jpg,"68,54 M² TOTAL","68,54 M² ÚTIL",1500.0
Sao Marcos,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/225201930/7270701930.jpg,250 M² TOTAL,"199,52 M² ÚTIL",1500.0
Santo Antonio,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1497901930/27035901930.jpg,"95,85 M² TOTAL","77,77 M² ÚTIL",1500.0
Guanabara,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1396401930/23487801930.jpg,"67,66 M² TOTAL","67,66 M² ÚTIL",1500.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/302601930/24375101930.jpg,"119,73 M² TOTAL","83,85 M² ÚTIL",1490.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1350901930/26827901930.jpg,"137,76 M² TOTAL","95,46 M² ÚTIL",1450.0
Bom Retiro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1463601930/26810301930.jpg,"62,11 M² TOTAL","45,54 M² ÚTIL",1450.0
Atiradores,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/809501930/27102801930.jpg,"90,94 M² TOTAL","69,52 M² ÚTIL",1450.0
Costa e Silva,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1327601930/26933701930.jpg,"68,64 M² TOTAL","57,31 M² ÚTIL",1400.0
Gloria,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1014001930/26382201930.jpg,"131,75 M² TOTAL","89,67 M² ÚTIL",1400.0
Saguacu,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1443901930/25098201930.jpg,"116,92 M² TOTAL","90,95 M² ÚTIL",1400.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/651101930/25487101930.jpg,"76,26 M² TOTAL","39,19 M² ÚTIL",1400.0
Centro,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/913701930/24339401930.jpg,"22,32 M² TOTAL","22,32 M² ÚTIL",1400.0
America,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1037401930/12978701930.jpg,"55,38 M² TOTAL","29,86 M² ÚTIL",1400.0
Costa e Silva,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1327601930/26933701930.jpg,"68,64 M² TOTAL","57,31 M² ÚTIL",1400.0
Gloria,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1014001930/26382201930.jpg,"131,75 M² TOTAL","89,67 M² ÚTIL",1400.0
Saguacu,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1443901930/25098201930.jpg,"116,92 M² TOTAL","90,95 M² ÚTIL",1400.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1484001930/26478801930.jpg,"48,98 M² TOTAL","35,44 M² ÚTIL",1400.0
Costa e Silva,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1248701930/26720301930.jpg,36 M² TOTAL,36 M² ÚTIL,1400.0
America,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1308201930/26124901930.jpg,"98,93 M² TOTAL","63,2 M² ÚTIL",1400.0
Jardim Sofia,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1463901930/25833001930.jpg,103 M² TOTAL,103 M² ÚTIL,1390.0
Bom Retiro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1214801930/26316101930.jpg,"91,62 M² TOTAL","64,67 M² ÚTIL",1350.0
Santo Antonio,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1474801930/26211901930.jpg,"91,8 M² TOTAL","58,7 M² ÚTIL",1350.0
Floresta,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1483701930/26464601930.jpg,"102,92 M² TOTAL","74,7 M² ÚTIL",1350.0
America,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1199001930/26319401930.jpg,"99,11 M² TOTAL","72,65 M² ÚTIL",1350.0
Bucarein,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1081201930/26983101930.jpg,"61,17 M² TOTAL","37,51 M² ÚTIL",1350.0
Saguacu,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1493701930/26895701930.jpg,"99,89 M² TOTAL","64,75 M² ÚTIL",1350.0
Zona Industrial Norte,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1047201930/26991701930.jpg,"65,93 M² TOTAL","51,09 M² ÚTIL",1350.0
America,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/458001930/26910101930.jpg,"134,26 M² TOTAL",116 M² ÚTIL,1300.0
Costa e Silva,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1494001930/26921701930.jpg,"58,02 M² TOTAL","49,83 M² ÚTIL",1300.0
Guanabara,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1491501930/26854401930.jpg,65 M² TOTAL,65 M² ÚTIL,1300.0
Costa e Silva,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1395401930/23456101930.jpg,"79,01 M² TOTAL","70,34 M² ÚTIL",1300.0
Anita Garibaldi,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/950101930/27102601930.jpg,"76,75 M² TOTAL","59,3 M² ÚTIL",1300.0
Boehmerwald,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1494801930/26944501930.jpg,"86,5 M² TOTAL","86,5 M² ÚTIL",1300.0
Nova Brasilia,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1482701930/26425001930.jpg,74 M² TOTAL,74 M² ÚTIL,1300.0
Sao Marcos,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/281101930/26207601930.jpg,70 M² TOTAL,70 M² ÚTIL,1300.0
Iririu,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1489501930/26755101930.jpg,"176,8 M² TOTAL","176,8 M² ÚTIL",1300.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/838701930/14158501930.jpg,"65,12 M² TOTAL","39,95 M² ÚTIL",1300.0
America,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/528601930/25422101930.jpg,70 M² TOTAL,70 M² ÚTIL,1300.0
America,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1282001930/19287901930.jpg,"52,69 M² TOTAL","28,41 M² ÚTIL",1300.0
America,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1376301930/22747001930.jpg,"52,69 M² TOTAL","28,41 M² ÚTIL",1300.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1386601930/23143101930.jpg,34 M² TOTAL,34 M² ÚTIL,1300.0
Costa e Silva,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1498201930/27042901930.jpg,"90,25 M² TOTAL","67,68 M² ÚTIL",1300.0
Guanabara,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1076701930/14069001930.jpg,"80,4 M² TOTAL","60,5 M² ÚTIL",1300.0
Santo Antonio,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/522201930/27102901930.jpg,"110,02 M² TOTAL","63,88 M² ÚTIL",1300.0
Floresta,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1424401930/26724901930.jpg,"70,12 M² TOTAL","70,12 M² ÚTIL",1300.0
Iririu,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1435901930/27056901930.jpg,"106,77 M² TOTAL","72,5 M² ÚTIL",1300.0
Iririu,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1436001930/25097601930.jpg,"106,77 M² TOTAL","72,58 M² ÚTIL",1300.0
Iririu,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1436201930/25098901930.jpg,"106,77 M² TOTAL","72,58 M² ÚTIL",1300.0
Saguacu,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/740501930/26305301930.jpg,"72,03 M² TOTAL","36,03 M² ÚTIL",1290.0
Bom Retiro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1490901930/26788901930.jpg,"87,69 M² TOTAL","67,55 M² ÚTIL",1250.0
Aventureiro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1490001930/26717201930.jpg,63 M² TOTAL,58 M² ÚTIL,1250.0
Iririu,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/471101930/26710801930.jpg,"40,17 M² TOTAL","40,17 M² ÚTIL",1250.0
Itinga,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1478401930/26324801930.jpg,"37,5 M² TOTAL","37,5 M² ÚTIL",1250.0
Guanabara,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1478501930/26325001930.jpg,"37,5 M² TOTAL","37,5 M² ÚTIL",1250.0
Floresta,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1280801930/26947101930.jpg,"94,06 M² TOTAL","59,64 M² ÚTIL",1250.0
Boehmerwald,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1401301930/25043101930.jpg,"47,78 M² TOTAL","43,37 M² ÚTIL",1250.0
Itaum,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1441501930/25019101930.jpg,"73,62 M² TOTAL","70,13 M² ÚTIL",1210.0
Atiradores,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1138201930/22183501930.jpg,"89,85 M² TOTAL",49 M² ÚTIL,1200.0
Anita Garibaldi,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/508001930/26981101930.jpg,90 M² TOTAL,65 M² ÚTIL,1200.0
Saguacu,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1314601930/26882601930.jpg,"99,48 M² TOTAL","71,07 M² ÚTIL",1200.0
Saguacu,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1479301930/26325401930.jpg,"94,92 M² TOTAL","66,6 M² ÚTIL",1200.0
Centro,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/905001930/26187601930.jpg,"15,02 M² TOTAL","15,02 M² ÚTIL",1200.0
Floresta,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1317501930/26772401930.jpg,"97,47 M² TOTAL","67,94 M² ÚTIL",1200.0
Anita Garibaldi,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/620301930/26252301930.jpg,"86,09 M² TOTAL","54,36 M² ÚTIL",1200.0
Atiradores,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1138201930/22183501930.jpg,"89,85 M² TOTAL",49 M² ÚTIL,1200.0
Santo Antonio,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1055101930/13491001930.jpg,"37,27 M² TOTAL","30,94 M² ÚTIL",1200.0
Saguacu,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1479301930/26325401930.jpg,"94,92 M² TOTAL","66,6 M² ÚTIL",1200.0
Centro,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/905001930/26187601930.jpg,"15,02 M² TOTAL","15,02 M² ÚTIL",1200.0
Floresta,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1317501930/26772401930.jpg,"97,47 M² TOTAL","67,94 M² ÚTIL",1200.0
Anita Garibaldi,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/620301930/26252301930.jpg,"86,09 M² TOTAL","54,36 M² ÚTIL",1200.0
Bucarein,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1442701930/25065301930.jpg,40 M² TOTAL,40 M² ÚTIL,1200.0
Bucarein,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1442801930/25066501930.jpg,40 M² TOTAL,40 M² ÚTIL,1200.0
America,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1444401930/25135201930.jpg,"55,38 M² TOTAL","28,86 M² ÚTIL",1200.0
Bom Retiro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1437801930/24885301930.jpg,"67,3 M² TOTAL","61,22 M² ÚTIL",1200.0
Anita Garibaldi,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1490301930/26726701930.jpg,"82,01 M² TOTAL","50,53 M² ÚTIL",1200.0
America,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1281901930/27092701930.jpg,"52,69 M² TOTAL","28,41 M² ÚTIL",1200.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1497401930/27034301930.jpg,"46,23 M² TOTAL","32,78 M² ÚTIL",1190.0
Boa Vista,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1466801930/25919001930.jpg,"61,49 M² TOTAL","56,33 M² ÚTIL",1150.0
Floresta,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1473301930/26168101930.jpg,"98,6 M² TOTAL","57,62 M² ÚTIL",1150.0
